#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   1                    0     4.66565146009728                    0                    0                  270
                   1                    0     4.67626072024511                    0                    0                  270
                   1                    0     4.68689884707029                    0                    0                  270
                   1                    0     4.69756049077057                    0                    0                  270
                   1                    0     4.70824030154369                    0                    0                  270
                   1                    0     4.71893292958738                    0                    0                  270
                   1                    0     4.72963302509939                    0                    0                  270
                   1                    0     4.74033523827747                    0                    0                  270
                   1                    0     4.75103421931936                    0                    0                  270
                   1                    0     4.76172461842279                    0                    0                  270
                   1                    0     4.77240108578551                    0                    0                  270
                   1                    0     4.78305827160526                    0                    0                  270
                   1                    0     4.79369082607979                    0                    0                  270
                   1                    0     4.80429339940683                    0                    0                  270
                   1                    0     4.81486064178413                    0                    0                  270
                   1                    0     4.82538720340943                    0                    0                  270
                   1                    0     4.83586773448047                    0                    0                  270
                   1                    0       4.846296885195                    0                    0                  270
                   1                    0     4.85666930575075                    0                    0                  270
                   1                    0     4.86697964634547                    0                    0                  270
                   1                    0      4.8772225571769                    0                    0                  270
                   1                    0     4.88739268844278                    0                    0                  270
                   1                    0     4.89748469034086                    0                    0                  270
                   1                    0     4.90749321306887                    0                    0                  270
                   1                    0     4.91741290682456                    0                    0                  270
                   1                    0     4.92723842180567                    0                    0                  270
                   1                    0     4.93696440820994                    0                    0                  270
                   1                    0     4.94658551623512                    0                    0                  270
                   1                    0     4.95609639607895                    0                    0                  270
                   1                    0     4.96549169793916                    0                    0                  270
                   1                    0      4.9747660720135                    0                    0                  270
                   1                    0     4.98391416849972                    0                    0                  270
                   1                    0     4.99293063759555                    0                    0                  270
                   1                    0     5.00181012949874                    0                    0                  270
                   1                    0     5.01054729440703                    0                    0                  270
                   1                    0     5.01913678251816                    0                    0                  270
                   1                    0     5.02757324402987                    0                    0                  270
                   1                    0     5.03585132913991                    0                    0                  270
                   1                    0     5.04396568804601                    0                    0                  270
                   1                    0     5.05191097094593                    0                    0                  270
                   1                    0     5.05968182803739                    0                    0                  270
                   1                    0     5.06727290951815                    0                    0                  270
                   1                    0     5.07467886558594                    0                    0                  270
                   1                    0     5.08189434643852                    0                    0                  270
                   1                    0     5.08891400227361                    0                    0                  270
                   1                    0     5.09573248328896                    0                    0                  270
                   1                    0     5.10234443968232                    0                    0                  270
                   1                    0     5.10874452165142                    0                    0                  270
                   1                    0     5.11492737939401                    0                    0                  270
                   1                    0     5.12088766310783                    0                    0                  270
                   1                    0     5.12662002299062                    0                    0                  270
                   1                    0     5.13211910924013                    0                    0                  270
                   1                    0     5.13737957205409                    0                    0                  270
                   1                    0     5.14239606163025                    0                    0                  270
                   1                    0     5.14716322816636                    0                    0                  270
                   1                    0     5.15167572186014                    0                    0                  270
                   1                    0     5.15592819290935                    0                    0                  270
                   1                    0     5.15991529151172                    0                    0                  270
                   1                    0     5.16363166786501                    0                    0                  270
                   1                    0     5.16707197216694                    0                    0                  270
                   1                    0     5.17023085461527                    0                    0                  270
                   1                    0     5.17310296540773                    0                    0                  270
                   1                    0     5.17568295474206                    0                    0                  270
                   1                    0     5.17796547281602                    0                    0                  270
                   1                    0     5.17994516982734                    0                    0                  270
                   1                    0     5.18161669597376                    0                    0                  270
                   1                    0     5.18297470145303                    0                    0                  270
                   1                    0     5.18401383646288                    0                    0                  270
                   1                    0     5.18472875120106                    0                    0                  270
                   1                    0     5.18511409586531                    0                    0                  270
                   1                    0     5.18516452065338                    0                    0                  270
                   1                    0       5.184874675763                    0                    0                  270
                   1                    0     5.18423921139192                    0                    0                  270
                   1                    0     5.18325277773788                    0                    0                  270
                   1                    0     5.18191002499862                    0                    0                  270
                   1                    0     5.18020560337188                    0                    0                  270
                   1                    0     5.17813416305541                    0                    0                  270
                   1                    0     5.17562266211267                    0                    0                  270
                   1                    0      5.1721165071751                    0                    0                  270
                   1                    0     5.16753003694386                    0                    0                  270
                   1                    0      5.1619075122539                    0                    0                  270
                   1                    0     5.15529319394017                    0                    0                  270
                   1                    0     5.14773134283764                    0                    0                  270
                   1                    0     5.13926621978124                    0                    0                  270
                   1                    0     5.12994208560593                    0                    0                  270
                   1                    0     5.11980320114667                    0                    0                  270
