#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   1                    0     3.69389694992263                    0                    0                  270
                   1                    0     3.69471987982272                    0                    0                  270
                   1                    0     3.69549355663973                    0                    0                  270
                   1                    0     3.69621950470993                    0                    0                  270
                   1                    0     3.69689924836964                    0                    0                  270
                   1                    0     3.69753431195513                    0                    0                  270
                   1                    0     3.69812621980272                    0                    0                  270
                   1                    0     3.69867649624869                    0                    0                  270
                   1                    0     3.69918666562934                    0                    0                  270
                   1                    0     3.69965825228096                    0                    0                  270
                   1                    0     3.70009278053985                    0                    0                  270
                   1                    0      3.7004917747423                    0                    0                  270
                   1                    0     3.70085675922462                    0                    0                  270
                   1                    0     3.70118925832309                    0                    0                  270
                   1                    0     3.70149079637401                    0                    0                  270
                   1                    0     3.70176289771368                    0                    0                  270
                   1                    0     3.70200708667839                    0                    0                  270
                   1                    0     3.70222488760443                    0                    0                  270
                   1                    0     3.70241782482811                    0                    0                  270
                   1                    0     3.70258742268571                    0                    0                  270
                   1                    0     3.70273520551354                    0                    0                  270
                   1                    0     3.70286269764788                    0                    0                  270
                   1                    0     3.70297142342504                    0                    0                  270
                   1                    0     3.70306290718131                    0                    0                  270
                   1                    0     3.70313867325298                    0                    0                  270
                   1                    0     3.70320024597635                    0                    0                  270
                   1                    0     3.70324914968771                    0                    0                  270
                   1                    0     3.70328690872336                    0                    0                  270
                   1                    0      3.7033150474196                    0                    0                  270
                   1                    0     3.70333509011272                    0                    0                  270
                   1                    0     3.70334856113901                    0                    0                  270
                   1                    0     3.70335698483477                    0                    0                  270
                   1                    0      3.7033618855363                    0                    0                  270
                   1                    0     3.70336478757989                    0                    0                  270
                   1                    0     3.70336710917986                    0                    0                  270
                   1                    0     3.70336933450068                    0                    0                  270
                   1                    0     3.70337146354105                    0                    0                  270
                   1                    0     3.70337349227184                    0                    0                  270
                   1                    0     3.70337541666391                    0                    0                  270
                   1                    0     3.70337723268812                    0                    0                  270
                   1                    0     3.70337893631533                    0                    0                  270
                   1                    0     3.70338052351641                    0                    0                  270
                   1                    0     3.70338199026223                    0                    0                  270
                   1                    0     3.70338333252364                    0                    0                  270
                   1                    0     3.70338454627152                    0                    0                  270
                   1                    0     3.70338562747672                    0                    0                  270
                   1                    0      3.7033865721101                    0                    0                  270
                   1                    0     3.70338737614254                    0                    0                  270
                   1                    0     3.70338803554489                    0                    0                  270
                   1                    0     3.70338854628802                    0                    0                  270
                   1                    0      3.7033889043428                    0                    0                  270
                   1                    0     3.70338910568007                    0                    0                  270
                   1                    0     3.70338914627072                    0                    0                  270
                   1                    0      3.7033890220856                    0                    0                  270
                   1                    0     3.70338872909558                    0                    0                  270
                   1                    0     3.70338826327152                    0                    0                  270
                   1                    0     3.70338762058428                    0                    0                  270
                   1                    0     3.70338679700473                    0                    0                  270
                   1                    0     3.70338578850374                    0                    0                  270
                   1                    0     3.70338459105215                    0                    0                  270
                   1                    0     3.70338320062085                    0                    0                  270
                   1                    0     3.70338161318068                    0                    0                  270
                   1                    0     3.70337982470253                    0                    0                  270
                   1                    0     3.70337783115724                    0                    0                  270
                   1                    0     3.70337562851568                    0                    0                  270
                   1                    0     3.70337321274873                    0                    0                  270
                   1                    0     3.70337057982723                    0                    0                  270
                   1                    0     3.70336772572205                    0                    0                  270
                   1                    0     3.70336464640407                    0                    0                  270
                   1                    0     3.70336133784413                    0                    0                  270
                   1                    0     3.70335779601311                    0                    0                  270
                   1                    0     3.70335401688187                    0                    0                  270
                   1                    0     3.70334999642127                    0                    0                  270
                   1                    0     3.70334573060218                    0                    0                  270
                   1                    0     3.70334121539545                    0                    0                  270
                   1                    0     3.70333644677196                    0                    0                  270
                   1                    0     3.70333142070257                    0                    0                  270
                   1                    0     3.70332613315813                    0                    0                  270
                   1                    0     3.70332058010952                    0                    0                  270
                   1                    0      3.7033147575276                    0                    0                  270
                   1                    0     3.70330866138323                    0                    0                  270
                   1                    0     3.70330228764727                    0                    0                  270
                   1                    0     3.70329563229059                    0                    0                  270
                   1                    0     3.70328869128405                    0                    0                  270
                   1                    0     3.70328146059852                    0                    0                  270
                   1                    0     3.70327393620486                    0                    0                  270
                   1                    0     3.70326611407393                    0                    0                  270
                   1                    0      3.7032579901766                    0                    0                  270
                   1                    0     3.70324956048372                    0                    0                  270
                   1                    0     3.70324082096618                    0                    0                  270
                   1                    0     3.70323176759481                    0                    0                  270
                   1                    0      3.7032223963405                    0                    0                  270
                   1                    0     3.70321270317411                    0                    0                  270
                   1                    0     3.70320268406649                    0                    0                  270
                   1                    0     3.70319233498852                    0                    0                  270
                   1                    0     3.70318165191105                    0                    0                  270
                   1                    0     3.70317063080495                    0                    0                  270
                   1                    0     3.70315926764108                    0                    0                  270
                   1                    0     3.70314755839031                    0                    0                  270
                   1                    0      3.7031354990235                    0                    0                  270
                   1                    0     3.70312308551151                    0                    0                  270
                   1                    0     3.70311031382521                    0                    0                  270
                   1                    0     3.70309717993546                    0                    0                  270
                   1                    0     3.70308367981313                    0                    0                  270
                   1                    0     3.70306980942907                    0                    0                  270
                   1                    0     3.70305556475416                    0                    0                  270
                   1                    0     3.70304094175925                    0                    0                  270
                   1                    0     3.70302593641521                    0                    0                  270
                   1                    0     3.70301054469291                    0                    0                  270
                   1                    0      3.7029947625632                    0                    0                  270
                   1                    0     3.70297858599695                    0                    0                  270
                   1                    0     3.70296201096502                    0                    0                  270
                   1                    0     3.70294503343828                    0                    0                  270
                   1                    0      3.7029276493876                    0                    0                  270
                   1                    0     3.70290985478382                    0                    0                  270
                   1                    0     3.70289164559783                    0                    0                  270
                   1                    0     3.70287301780047                    0                    0                  270
                   1                    0     3.70285396736263                    0                    0                  270
                   1                    0     3.70283449025515                    0                    0                  270
                   1                    0      3.7028145824489                    0                    0                  270
                   1                    0     3.70279423991475                    0                    0                  270
                   1                    0     3.70277345862356                    0                    0                  270
                   1                    0      3.7027522345462                    0                    0                  270
                   1                    0     3.70273056365352                    0                    0                  270
                   1                    0     3.70270844191639                    0                    0                  270
                   1                    0     3.70268586530568                    0                    0                  270
                   1                    0     3.70266282979224                    0                    0                  270
                   1                    0     3.70263933134695                    0                    0                  270
                   1                    0     3.70261536594066                    0                    0                  270
                   1                    0     3.70259092954424                    0                    0                  270
                   1                    0     3.70256601812856                    0                    0                  270
                   1                    0     3.70254062766447                    0                    0                  270
                   1                    0     3.70251475412284                    0                    0                  270
                   1                    0     3.70248839347453                    0                    0                  270
                   1                    0     3.70246154169041                    0                    0                  270
                   1                    0     3.70243419474134                    0                    0                  270
                   1                    0     3.70240634859819                    0                    0                  270
                   1                    0     3.70237799923181                    0                    0                  270
                   1                    0     3.70234914261308                    0                    0                  270
                   1                    0     3.70231977471285                    0                    0                  270
                   1                    0     3.70228989150199                    0                    0                  270
                   1                    0     3.69616975223776                    0                    0                  270
                   1                    0     3.67795766442189                    0                    0                  270
                   1                    0     3.64817926255277                    0                    0                  270
                   1                    0      3.6073608765056                    0                    0                  270
                   1                    0     3.55602883615561                    0                    0                  270
                   1                    0     3.49470947137798                    0                    0                  270
                   1                    0     3.42392911204794                    0                    0                  270
                   1                    0     3.34421408804068                    0                    0                  270
                   1                    0     3.25609072923142                    0                    0                  270
                   1                    0     3.16008536549535                    0                    0                  270
                   1                    0      3.0567243267077                    0                    0                  270
                   1                    0     2.94653394274366                    0                    0                  270
                   1                    0     2.83004054347844                    0                    0                  270
                   1                    0     2.70777045878726                    0                    0                  270
                   1                    0     2.58025001854531                    0                    0                  270
                   1                    0      2.4480055526278                    0                    0                  270
                   1                    0     2.31156339090995                    0                    0                  270
                   1                    0     2.17144986326695                    0                    0                  270
                   1                    0     2.02819129957402                    0                    0                  270
                   1                    0     1.88231402970636                    0                    0                  270
                   1                    0     1.73434438353918                    0                    0                  270
                   1                    0     1.58480869094769                    0                    0                  270
                   1                    0     1.43423328180709                    0                    0                  270
                   1                    0     1.28314448599259                    0                    0                  270
                   1                    0      1.1320686333794                    0                    0                  270
                   1                    0    0.981532053842728                    0                    0                  270
                   1                    0    0.832061077257773                    0                    0                  270
                   1                    0     0.68418203349975                    0                    0                  270
                   1                    0    0.538421252443863                    0                    0                  270
                   1                    0    0.395305063965318                    0                    0                  270
                   1                    0    0.255359797939325                    0                    0                  270
                   1                    0    0.119111784241089                    0                    0                  270
                   1                    0  -0.0129126472541818                    0                    0                  270
                   1                    0   -0.140187166671281                    0                    0                  270
                   1                    0   -0.262185444135001                    0                    0                  270
                   1                    0   -0.378381149770135                    0                    0                  270
                   1                    0   -0.488247953701475                    0                    0                  270
                   1                    0   -0.591259526053816                    0                    0                  270
                   1                    0   -0.686889536951949                    0                    0                  270
                   1                    0   -0.774611656520666                    0                    0                  270
                   1                    0   -0.853899554884762                    0                    0                  270
                   1                    0    -0.92422690216903                    0                    0                  270
                   1                    0   -0.985067368498262                    0                    0                  270
                   1                    0    -1.03589462399725                    0                    0                  270
                   1                    0    -1.07618233879079                    0                    0                  270
                   1                    0    -1.10540418300367                    0                    0                  270
                   1                    0    -1.12303382676069                    0                    0                  270
                   1                    0    -1.12854494018663                    0                    0                  270
                   1                    0     -1.1214111934063                    0                    0                  270
                   1                    0    -1.10110625654448                    0                    0                  270
                   1                    0    -1.06710379972597                    0                    0                  270
                   1                    0    -1.01887749307556                    0                    0                  270
                   1                    0   -0.955901006718037                    0                    0                  270
                   1                    0   -0.877648010778203                    0                    0                  270
                   1                    0   -0.783592175380848                    0                    0                  270
                   1                    0   -0.673207170650766                    0                    0                  270
                   1                    0   -0.545966666712748                    0                    0                  270
                   1                    0   -0.368597229979552                    0                    0                  270
   0.443488500264834                    0  -0.0353839228005824                    0                    0                  270
                   0                    0                    0                    0                    0                  270
