#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     48.2884749678027                2.071                    0                    0                  270
                   0                    0    0.741443033939961                    0                    0                  270
    85.3309285480677     6.23799922925826    0.741443033939961                    0                    0                  270
    108.936569087789     7.13147743600496     8.84068890735921                    0     1.91605447226108                  270
    52.2205351184967     1.35516398725004     6.36557070910916                    0                    0                  270
    8.66058939086594     1.72864757862342     3.55431433088212                    0                    0                  270
    28.9094902614397     12.1653457371453     3.98577293236488                    0                    0                  270
    28.9590787997765     4.91543045757777     4.26558355923481                    0                    0                  270
    29.5084728417019     5.90169456834038      4.2794893711251                    0                    0                  270
    225.144902078199     7.48662972259378      4.4574712092613                    0                    0                  270
                   0                    0                    0                    0                    0                  270
