#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     36.8356146398395                2.071                    0                    0                    0
    45.6548451555304     0.78082973594636      2.0712894095919                    0                    0                    0
    25.0056710014294     4.55933994552103     3.00014923635869                    0                    0                    0
    101.958473544175     15.2564341105203     9.44899683407937                    0     1.99004554252942                  270
    60.3419964472767     5.80453151095767     6.27175659505523                    0                    0                    0
    16.9275833425042     9.98647766801969     2.49611825961035                    0                    0                    0
    301.177728018146     6.44105730475613      4.4673600953211                    0                    0                    0
                   0                    0                    0                    0                    0                    0
                   0                    0                    0                    0                    0                    0
