#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0     49.9350251574209                2.071                    0                    0                    0
    24.4520282172366     4.34492720145141     2.07113495614324                    0                    0                    0
    108.614398493135     8.70772083088766     9.29336349509467                    0     1.92112374484662                  270
    50.2165789058459     1.87025687167802     6.38272721053822                    0                    0                    0
    12.7567478812191      9.9775049967007     2.48509416161437                    0                    0                    0
    272.089608332446     7.90200797349099      3.8131788268613                    0                    0                    0
                   0                    0                    0                    0                    0                    0
                   0                    0                    0                    0                    0                    0
